"id_trecho_,N,10,0","vl_br,C,3","sg_uf,C,2","nm_tipo_tr,C,254","sg_tipo_tr,C,1","desc_coinc,C,254","vl_codigo,C,20","ds_local_i,C,254","ds_local_f,C,254","vl_km_inic,N,19,8","vl_km_fina,N,19,8","vl_extensa,N,19,8","ds_sup_fed,C,254","ds_obra,C,3","ul,C,254","ds_coinc,C,254","ds_tipo_ad,C,254","ds_ato_leg,C,254","est_coinc,C,254","sup_est_co,C,254","ds_jurisdi,C,254","ds_superfi,C,254","ds_legenda,C,254","sg_legenda,C,254","leg_multim,C,254","versao_snv,C,15","id_versao,N,10,0","marcador,C,254"
151131,010,GO,Eixo Principal,B,-,010BGO0110,ENTR GO-430 (P/PLANALTINA),R.TRINTA E QUATRO (SÃO GABRIEL DE GOIÁS),9,31.6,22.6,PLA,,,010BGO0110,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151132,010,GO,Eixo Principal,B,-,010BGO0120,R.TRINTA E QUATRO (SÃO GABRIEL DE GOIÁS),ENTR GO-230,31.6,38.1,6.5,PLA,,,010BGO0120,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151133,010,GO,Eixo Principal,B,-,010BGO0125,ENTR GO-230,ENTR GO-237,38.1,66.7,28.6,PLA,,,010BGO0125,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151134,010,GO,Eixo Principal,B,-,010BGO0130,ENTR GO-237,INÍCIO PISTA DUPLA SÃO JOÃO D ALIANÇA,66.7,92.8,26.1,PLA,,,010BGO0130,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151135,010,GO,Eixo Principal,B,-,010BGO0135,INÍCIO PISTA DUPLA SÃO JOÃO D ALIANÇA,FIM PISTA DUPLA SÃO JOÃO D ALIANÇA,92.8,94.4,1.6,PLA,,,010BGO0135,Estadual,,GO-118,DUP,Estadual,PLA,Planejada,PLA,Duplicada,202507A,80,|
151136,010,GO,Eixo Principal,B,-,010BGO0140,FIM PISTA DUPLA SÃO JOÃO D ALIANÇA,ENTR GO-236,94.4,105.8,11.4,PLA,,,010BGO0140,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151137,010,GO,Eixo Principal,B,-,010BGO0150,ENTR GO-236,ENTR GO-239 (ALTO PARAÍSO DE GOIÁS),105.8,161.2,55.4,PLA,,,010BGO0150,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151138,010,GO,Eixo Principal,B,-,010BGO0160,ENTR GO-239 (ALTO PARAÍSO DE GOIÁS),ENTR GO-118/241 (TERESINA DE GOIÁS),161.2,227.3,66.1,PLA,,,010BGO0160,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151140,010,GO,Eixo Principal,B,-,010BGO0180,ENTR GO-118/241 (TERESINA DE GOIÁS),R. DA CRIANÇA (TERESINA DE GOIÁS),227.3,228.3,1,PLA,,,010BGO0180,Estadual,,GO-118,DUP,Estadual,PLA,Planejada,PLA,Duplicada,202507A,80,|
162516,010,GO,Eixo Principal,B,-,010BGO0181,R. DA CRIANÇA (TERESINA DE GOIÁS),PORTO REAL,228.3,273.1,44.8,PLA,,,010BGO0181,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
162415,010,GO,Eixo Principal,B,-,010BGO0182,PORTO REAL,RIO BEZERRA (DIV GO/TO),273.1,305.7,32.6,PLA,,,010BGO0182,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|
151176,010,MA,Eixo Principal,B,-,010BMA0360,DIV TO/MA,ENTR BR-010/230/AV.FREDERICO MARTINS (CAROLINA),0,34,34,PLA,,,010BMA0360,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|
151177,010,MA,Eixo Principal,B,-,010BMA0370,ENTR BR-010/230/AV.FREDERICO MARTINS (CAROLINA),ENTR BR-010/226/230/MA-138 (ESTREITO),34,128.8,94.8,PAV,,Imperatriz,010BMA0370;230BMA1070,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151178,010,MA,Eixo Principal,B,-,010BMA0390,ENTR BR-010/226/230/MA-138 (ESTREITO),ENTR BR-010/226 (PORTO FRANCO),128.8,156.4,27.6,PAV,,Imperatriz,010BMA0390;226BMA0930,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151179,010,MA,Eixo Principal,B,-,010BMA0400,ENTR BR-010/226 (PORTO FRANCO),CAMPESTRE DO MARANHÃO,156.4,176.8,20.4,PAV,,Imperatriz,010BMA0400,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151180,010,MA,Eixo Principal,B,-,010BMA0410,CAMPESTRE DO MARANHÃO,RIBAMAR FIQUENE,176.8,203.5,26.7,PAV,,Imperatriz,010BMA0410,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151181,010,MA,Eixo Principal,B,-,010BMA0420,RIBAMAR FIQUENE,ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO),203.5,223.1,19.6,PAV,,Imperatriz,010BMA0420,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151182,010,MA,Eixo Principal,B,-,010BMA0425,ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO),INÍCIO TRAV URB IMPERATRIZ,223.1,246.4,23.3,PAV,,Imperatriz,010BMA0425,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151183,010,MA,Eixo Principal,B,-,010BMA0430,INÍCIO TRAV URB IMPERATRIZ,ENTR MA-122 (IMPERATRIZ),246.4,253.6,7.2,PAV,EOD,Imperatriz,010BMA0430,Federal,,,,Federal,PAV,Em obra de Duplicação,EOD,Pavimentada,202507A,80,|
151184,010,MA,Eixo Principal,B,-,010BMA0440,ENTR MA-122 (IMPERATRIZ),FIM TRAV URB IMPERATRIZ,253.6,260.8,7.2,PAV,EOD,Imperatriz,010BMA0440,Federal,,,,Federal,PAV,Em obra de Duplicação,EOD,Pavimentada,202507A,80,|
151185,010,MA,Eixo Principal,B,-,010BMA0450,FIM TRAV URB IMPERATRIZ,ENTR MA-125 (P/CIDELÂNDIA),260.8,295.2,34.4,PAV,,Imperatriz,010BMA0450,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151186,010,MA,Eixo Principal,B,-,010BMA0460,ENTR MA-125 (P/CIDELÂNDIA),ENTR BR-010/222 (AÇAILÂNDIA),295.2,319.8,24.6,PAV,,Imperatriz,010BMA0460,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151187,010,MA,Eixo Principal,B,-,010BMA0470,ENTR BR-010/222 (AÇAILÂNDIA),INÍCIO DA PONTE S/RIO ITINGA - DIV MA/PA,319.8,378.6,58.8,PAV,,Imperatriz,010BMA0470;222BMA0690,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151188,010,PA,Eixo Principal,B,-,010BPA0490,INÍCIO DA PONTE S/RIO ITINGA - DIV MA/PA,ENTR BR-010/222/PA-332 (DOM ELISEU),0,18,18,PAV,,Capanema,010BPA0490;222BPA0710,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151189,010,PA,Eixo Principal,B,-,010BPA0510,ENTR BR-010/222/PA-332 (DOM ELISEU),ENTR PA-125/263 (GURUPIZINHO),18,83.5,65.5,PAV,,Capanema,010BPA0510,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151190,010,PA,Eixo Principal,B,-,010BPA0530,ENTR PA-125/263 (GURUPIZINHO),ENTR PA-256 (P/PARAGOMINAS),83.5,165.8,82.3,PAV,,Capanema,010BPA0530,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151191,010,PA,Eixo Principal,B,-,010BPA0550,ENTR PA-256 (P/PARAGOMINAS),ENTR PA-125,165.8,176.1,10.3,PAV,,Capanema,010BPA0550,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151192,010,PA,Eixo Principal,B,-,010BPA0570,ENTR PA-125,ENTR PA-252 (MÃE DO RIO),176.1,272,95.9,PAV,,Capanema,010BPA0570,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151193,010,PA,Eixo Principal,B,-,010BPA0590,ENTR PA-252 (MÃE DO RIO),ENTR PA-253 (P/SÃO DOMINGOS DO CAPIM),272,299.6,27.6,PAV,,Capanema,010BPA0590,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151194,010,PA,Eixo Principal,B,-,010BPA0610,ENTR PA-253 (P/SÃO DOMINGOS DO CAPIM),ENTR PA-253 (P/IRITUIA),299.6,307.4,7.8,PAV,,Capanema,010BPA0610,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151195,010,PA,Eixo Principal,B,-,010BPA0630,ENTR PA-253 (P/IRITUIA),ENTR PA-432 (P/VILA CONCEIÇÃO),307.4,313.1,5.7,PAV,,Capanema,010BPA0630,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151196,010,PA,Eixo Principal,B,-,010BPA0650,ENTR PA-432 (P/VILA CONCEIÇÃO),ENTR PA-251/322 (SÃO MIGUEL DO GUAMA),313.1,321.7,8.6,PAV,,Capanema,010BPA0650,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151197,010,PA,Eixo Principal,B,-,010BPA0670,ENTR PA-251/322 (SÃO MIGUEL DO GUAMA),AV.STA.MARIA (SANTA MARIA DO PARÁ),321.7,353.7,32,PAV,,Capanema,010BPA0670,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151198,010,PA,Eixo Principal,B,-,010BPA0690,AV.STA.MARIA (SANTA MARIA DO PARÁ),ENTR BR-010/308/316 (SANTA MARIA DO PARÁ),353.7,355,1.3,PAV,,Capanema,010BPA0690,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151199,010,PA,Eixo Principal,B,-,010BPA0710,ENTR BR-010/308/316 (SANTA MARIA DO PARÁ),ENTR PA-424 (P/COLÔNIA DO PRATA),355,362.2,7.2,PAV,,Capanema,010BPA0710;308BPA0140;316BPA0140,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151200,010,PA,Eixo Principal,B,-,010BPA0730,ENTR PA-424 (P/COLÔNIA DO PRATA),ENTR PA-127 (P/IGARAPÉ AÇU),362.2,371.7,9.5,PAV,,Capanema,010BPA0730;308BPA0130;316BPA0130,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151201,010,PA,Eixo Principal,B,-,010BPA0750,ENTR PA-127 (P/IGARAPÉ AÇU),ENTR PA-127 (BARRO BRANCO),371.7,377.5,5.8,PAV,,Capanema,010BPA0750;308BPA0120;316BPA0120,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151202,010,PA,Eixo Principal,B,-,010BPA0770,ENTR PA-127 (BARRO BRANCO),FIM PISTA DUPLA (CASTANHAL),377.5,389.9,12.4,PAV,,Capanema,010BPA0770;308BPA0110;316BPA0110,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151203,010,PA,Eixo Principal,B,-,010BPA0780,FIM PISTA DUPLA (CASTANHAL),ENTR PA-136/320 (CASTANHAL),389.9,393.4,3.5,DUP,,Capanema,010BPA0780;308BPA0105;316BPA0105,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151204,010,PA,Eixo Principal,B,-,010BPA0790,ENTR PA-136/320 (CASTANHAL),ACESSO AMERICANO I,393.4,407,13.6,DUP,,Capanema,010BPA0790;308BPA0100;316BPA0100,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151205,010,PA,Eixo Principal,B,-,010BPA0810,ACESSO AMERICANO I,ACESSO AMERICANO II,407,409.7,2.7,DUP,,Capanema,010BPA0810;308BPA0090;316BPA0090,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151206,010,PA,Eixo Principal,B,-,010BPA0830,ACESSO AMERICANO II,ENTR PA-140 (SANTA IZABEL DO PARÁ),409.7,421.4,11.7,DUP,,Capanema,010BPA0830;308BPA0080;316BPA0080,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151207,010,PA,Eixo Principal,B,-,010BPA0850,ENTR PA-140 (SANTA IZABEL DO PARÁ),ENTR PA-406 (CAJUEIRO),421.4,431.6,10.2,DUP,,Capanema,010BPA0850;308BPA0070;316BPA0070,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151208,010,PA,Eixo Principal,B,-,010BPA0870,ENTR PA-406 (CAJUEIRO),ENTR PA-391 (P/BENEVIDES),431.6,433.6,2,DUP,,Capanema,010BPA0870;308BPA0060;316BPA0060,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151209,010,PA,Eixo Principal,B,-,010BPA0890,ENTR PA-391 (P/BENEVIDES),ENTR PA-406 (CANUTAMA),433.6,437.1,3.5,DUP,,Capanema,010BPA0890;308BPA0050;316BPA0050,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151210,010,PA,Eixo Principal,B,-,010BPA0910,ENTR PA-406 (CANUTAMA),ENTR PA-404 (P/BENFICA),437.1,439.5,2.4,DUP,,Capanema,010BPA0910;308BPA0040;316BPA0040,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151211,010,PA,Eixo Principal,B,-,010BPA0930,ENTR PA-404 (P/BENFICA),ACESSO ALÇA VIÁRIA,439.5,447.9,8.4,DUP,,Belém,010BPA0930;308BPA0030;316BPA0030,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151212,010,PA,Eixo Principal,B,-,010BPA0940,ACESSO ALÇA VIÁRIA,DIV MUN BELÉM/ANANINDEUA (ALAM M BONITA),447.9,455.8,7.9,DUP,,Belém,010BPA0940;308BPA0020;316BPA0020,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151141,010,TO,Eixo Principal,B,-,010BTO0185,RIO BEZERRA (DIV GO/TO),ENTR BR-010/242,0,96.4,96.4,PLA,,,010BTO0185,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|
162414,010,TO,Eixo Principal,B,-,010BTO0187,ENTR BR-010/242,ENTR TO-296 (PARANÃ),96.4,116.6,20.2,PAV,,Gurupi,010BTO0187;242BTO0397,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151142,010,TO,Eixo Principal,B,-,010BTO0192,ENTR TO-296 (PARANÃ),INÍCIO DUPLICAÇÃO,116.6,120.9,4.3,PAV,,Gurupi,010BTO0192;242BTO0400,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151143,010,TO,Eixo Principal,B,-,010BTO0195,INÍCIO DUPLICAÇÃO,ENTR BR-010/242,120.9,121.5,0.6,DUP,,Gurupi,010BTO0195;242BTO0405,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
162172,010,TO,Eixo Principal,B,-,010BTO0197,ENTR BR-010/242,FIM DA DUPLICAÇÃO,121.5,122.1,0.6,DUP,,Gurupi,010BTO0197,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151144,010,TO,Eixo Principal,B,-,010BTO0200,FIM DA DUPLICAÇÃO,FIM DA PAVIMENTAÇÃO,122.1,159.4,37.3,PAV,,Gurupi,010BTO0200,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151145,010,TO,Eixo Principal,B,-,010BTO0205,FIM DA PAVIMENTAÇÃO,ENTR TO-387,159.4,159.9,0.5,IMP,,Gurupi,010BTO0205,Federal,,,,Federal,N_PAV,Implantada,IMP,Implantada,202507A,80,|
151146,010,TO,Eixo Principal,B,-,010BTO0210,ENTR TO-387,INÍCIO DA PAVIMENTAÇÃO,159.9,166.5,6.6,IMP,,Gurupi,010BTO0210,Federal,,,,Federal,N_PAV,Implantada,IMP,Implantada,202507A,80,|
151147,010,TO,Eixo Principal,B,-,010BTO0215,INÍCIO DA PAVIMENTAÇÃO,ENTR TO-050 (PRÍNCIPE),166.5,206.2,39.7,PAV,,Gurupi,010BTO0215,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151148,010,TO,Eixo Principal,B,-,010BTO0220,ENTR TO-050 (PRÍNCIPE),BONFIM,206.2,219.1,12.9,PAV,,Gurupi,010BTO0220,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151149,010,TO,Eixo Principal,B,-,010BTO0225,BONFIM,ENTR TO-280 (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE),219.1,241.4,22.3,PAV,,Gurupi,010BTO0225,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151150,010,TO,Eixo Principal,B,-,010BTO0230,ENTR TO-280 (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE),ENTR TO-280 (NATIVIDADE) (P/ ALMAS),241.4,244.4,3,PAV,,Gurupi,010BTO0230,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151151,010,TO,Eixo Principal,B,-,010BTO0235,ENTR TO-280 (NATIVIDADE) (P/ ALMAS),CHAPADA DA NATIVIDADE,244.4,253.1,8.7,PAV,,Gurupi,010BTO0235,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151152,010,TO,Eixo Principal,B,-,010BTO0240,CHAPADA DA NATIVIDADE,ENTR TO-130(B),253.1,263.1,10,PAV,,Gurupi,010BTO0240,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151153,010,TO,Eixo Principal,B,-,010BTO0245,ENTR TO-130(B),ENTR TO-373 (SANTA ROSA DO TOCANTINS),263.1,304.7,41.6,PAV,,Gurupi,010BTO0245,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151154,010,TO,Eixo Principal,B,-,010BTO0250,ENTR TO-373 (SANTA ROSA DO TOCANTINS),ENTR TO-458 (P/IPUEIRAS),304.7,313,8.3,PAV,,Gurupi,010BTO0250,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151155,010,TO,Eixo Principal,B,-,010BTO0255,ENTR TO-458 (P/IPUEIRAS),ENTR TO-262,313,343.2,30.2,PAV,,Gurupi,010BTO0255,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151156,010,TO,Eixo Principal,B,-,010BTO0260,ENTR TO-262,ENTR TO-262/365 (SILVANÓPOLIS),343.2,346.6,3.4,PAV,,Gurupi,010BTO0260,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151157,010,TO,Eixo Principal,B,-,010BTO0262,ENTR TO-262/365 (SILVANÓPOLIS),ENTR TO-365 (P/MONTE DO CARMO),346.6,357.1,10.5,PLA,,,010BTO0262,Estadual,,TO-050,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151158,010,TO,Eixo Principal,B,-,010BTO0264,ENTR TO-365 (P/MONTE DO CARMO),ENTR TO-458,357.1,381.1,24,PLA,,,010BTO0264,Estadual,,TO-050,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151159,010,TO,Eixo Principal,B,-,010BTO0268,ENTR TO-458,ACESSO SUL PORTO NACIONAL,381.1,398.9,17.8,PLA,,,010BTO0268,Estadual,,TO-050,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
160954,010,TO,Eixo Principal,B,-,010BTO0271,ACESSO SUL PORTO NACIONAL,ENTR TO-255 (ACESSO LESTE PORTO NACIONAL),398.9,408.1,9.2,PLA,,,010BTO0271,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|
158187,010,TO,Eixo Principal,B,-,010BTO0274,ENTR TO-255 (ACESSO LESTE PORTO NACIONAL),ACESSO NORTE PORTO NACIONAL,408.1,412,3.9,PLA,,,010BTO0274,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|
158188,010,TO,Eixo Principal,B,-,010BTO0276,ACESSO NORTE PORTO NACIONAL,AV. IPANEMA (PALMAS),412,448.3,36.3,PLA,,,010BTO0276,Estadual,,TO-050,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
158711,010,TO,Eixo Principal,B,-,010BTO0278,AV. IPANEMA (PALMAS),AV. GOIÁS (PALMAS),448.3,452,3.7,PLA,,,010BTO0278,Estadual,,TO-050,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151160,010,TO,Eixo Principal,B,-,010BTO0280,AV. GOIÁS (PALMAS),ENTR TO-010/020/050/070 (PALMAS),452,463.5,11.5,DUP,,Palmas,010BTO0280,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151161,010,TO,Eixo Principal,B,-,010BTO0285,ENTR TO-010/020/050/070 (PALMAS),FIM PISTA DUPLA (PALMAS),463.5,465.9,2.4,DUP,,Palmas,010BTO0285,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151162,010,TO,Eixo Principal,B,-,010BTO0290,FIM PISTA DUPLA (PALMAS),AV. SANCHA TAVARES (APARECIDA DO RIO NEGRO),465.9,529.4,63.5,PAV,,Palmas,010BTO0290,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151163,010,TO,Eixo Principal,B,-,010BTO0295,AV. SANCHA TAVARES (APARECIDA DO RIO NEGRO),FIM DA PAVIMENTAÇÃO,529.4,552.4,23,PAV,,Palmas,010BTO0295,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151164,010,TO,Eixo Principal,B,-,010BTO0300,FIM DA PAVIMENTAÇÃO,CÓRREGO ALDEIA,552.4,564.8,12.4,LEN,,Palmas,010BTO0300,Federal,,,,Federal,N_PAV,Leito Natural,LEN,Leito Natural,202507A,80,|
151165,010,TO,Eixo Principal,B,-,010BTO0305,CÓRREGO ALDEIA,INÍCIO DA PAVIMENTAÇÃO,564.8,605.1,40.3,LEN,,Palmas,010BTO0305,Federal,,,,Federal,N_PAV,Leito Natural,LEN,Leito Natural,202507A,80,|
151166,010,TO,Eixo Principal,B,-,010BTO0310,INÍCIO DA PAVIMENTAÇÃO,ENTR TO-245(B) (RIO SONO),605.1,632.2,27.1,PAV,,Palmas,010BTO0310,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
157962,010,TO,Eixo Principal,B,-,010BTO0313,ENTR TO-245(B) (RIO SONO),INÍCIO TRAVESSIA RIO PERDIDA,632.2,633.8,1.6,PAV,,Palmas,010BTO0313,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|
151167,010,TO,Eixo Principal,B,-,010BTO0315,INÍCIO TRAVESSIA RIO PERDIDA,FIM TRAVESSIA RIO PERDIDA,633.8,634,0.2,TRV,,,010BTO0315,Federal,,,,Federal,N_PAV,Travessia,TRV,Travessia,202507A,80,|
