rodovia_br,uf,tipo_trecho,desc_coinc,cod,inicio ,fim ,km_inicial,km_final,extensao,superf_federal,obras,fed_coinc,administracao,ato_legal,estad_coinc,superf_estad_coinc,jurisdicao,superficie,unidade_local
020,PI,Eixo Principal,-,020BPI0435,FIM PISTA DUPLA (SIMPLÍCIO MENDES),ENTR PI-249 (FIM DA PAVIMENTAÇÃO),221.8,227.5,5.7,PAV,,020BPI0435,Federal,,,,Federal,PAV,Picos
020,PI,Eixo Principal,-,020BPI0440,ENTR PI-249 (FIM DA PAVIMENTAÇÃO),ENTR PI-245 (RIO CANINDÉ),227.5,243.9,16.4,LEN,,020BPI0440,Federal,,,,Federal,N_PAV,Picos
020,PI,Eixo Principal,-,020BPI0490,ENTR PI-245 (RIO CANINDÉ),ENTR BR-020/230/316,243.9,330.7,86.8,PLA,,020BPI0490,Federal,,,,Federal,PLA,
020,PI,Eixo Principal,-,020BPI0493,ENTR BR-020/230/316,ENTR PI-228 (P/FRANCISCO SANTOS),330.7,353.5,22.8,PAV,,020BPI0493,Federal,,,,Federal,PAV,Picos
020,PI,Eixo Principal,-,020BPI0495,ENTR PI-228 (P/FRANCISCO SANTOS),DIV PI/CE,353.5,415.1,61.6,PAV,,020BPI0495,Federal,,,,Federal,PAV,Picos
030,BA,Acesso,-,030ABA1005,ACESSO NOROESTE CARINHANHA,CARINHANHA,0,1.1,1.1,PAV,,030ABA1005,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Acesso,-,030ABA2005,ENTR BR-030/342 (ACESSO NORTE MALHADA),MALHADA,0,0.7,0.7,PAV,,030ABA2005,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Acesso,-,030ABA3005,ACESSO OESTE BRUMADO,INÍCIO TRAVESSIA URBANA BRUMADO,0,3.9,3.9,PAV,,030ABA3005,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Acesso,-,030ABA3010,INÍCIO TRAVESSIA URBANA BRUMADO,FIM TRAVESSIA URBANA BRUMADO,3.9,7.3,3.4,PAV,,030ABA3010,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Acesso,-,030ABA5005,ACESSO SUL MARAÚ,R.VITÓRIO MAGALHÃES SÃO CARVALHO (MARAÚ),0,3.9,3.9,PLA,,030ABA5005,Federal,,,,Federal,PLA,
030,BA,Acesso,-,030ABA6005,ACESSO A JUVENÍLIA/MG,INÍCIO PONTE S/RIO CARIRANHA,0,2.9,2.9,PLA,,030ABA6005,Federal,,,,Federal,PLA,
030,BA,Eixo Principal,-,030BBA0227,DIV GO/BA,ENTR BR-030/135 (COCOS),0,191.5,191.5,LEN,,030BBA0227,Federal,,,,Federal,N_PAV,Cocos
030,BA,Eixo Principal,-,030BBA0230,ENTR BR-030/135 (COCOS),ENTR BA-601 (FEIRA DA MATA),191.5,223.1,31.6,LEN,EOP,030BBA0230,Federal,,,,Federal,N_PAV,Cocos
030,BA,Eixo Principal,-,030BBA0235,ENTR BA-601 (FEIRA DA MATA),ACESSO A JUVENÍLIA/MG,223.1,238.4,15.3,LEN,EOP,030BBA0235,Federal,,,,Federal,N_PAV,Cocos
030,BA,Eixo Principal,-,030BBA0236,ACESSO A JUVENÍLIA/MG,ACESSO NOROESTE CARINHANHA,238.4,281.7,43.3,LEN,EOP,030BBA0236,Federal,,,,Federal,N_PAV,Cocos
030,BA,Eixo Principal,-,030BBA0237,ACESSO NOROESTE CARINHANHA,INÍCIO PONTE S/RIO SÃO FRANCISCO,281.7,286.5,4.8,PAV,,030BBA0237,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0240,INÍCIO PONTE S/RIO SÃO FRANCISCO,ENTR BR-030/342 (ACESSO NORTE MALHADA),286.5,287.6,1.1,PAV,,030BBA0240;342BBA0010,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0242,ENTR BR-030/342 (ACESSO NORTE MALHADA),ENTR BA-160,287.6,309.7,22.1,PAV,,030BBA0242,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0244,ENTR BA-160,ENTR BA-160 (P/IUIÚ),309.7,311.8,2.1,PAV,,030BBA0244,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0250,ENTR BA-160 (P/IUIÚ),ENTR BA-263,311.8,352.2,40.4,PAV,,030BBA0250,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0251,ENTR BA-263,PALMAS DE MONTE ALTO,352.2,353.8,1.6,PAV,,030BBA0251,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0252,PALMAS DE MONTE ALTO,ENTR BA-612 (MUTÃS),353.8,377,23.2,PAV,,030BBA0252,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0254,ENTR BA-612 (MUTÃS),ENTR BA-573 (P/ MATINA),377,395,18,PAV,,030BBA0254,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0270,ENTR BA-573 (P/ MATINA),ENTR BR-030/122 (GUANAMBÍ),395,397.7,2.7,PAV,,030BBA0270,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0272,ENTR BR-030/122 (GUANAMBÍ),ENTR BA-936 (P/ MORRINHOS),397.7,414.2,16.5,PAV,,030BBA0272;122BBA0547,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0281,ENTR BA-936 (P/ MORRINHOS),ENTR BA-937 (P/PAJEÚ DO VENTO),414.2,422.7,8.5,PAV,,030BBA0281;122BBA0545,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0290,ENTR BA-937 (P/PAJEÚ DO VENTO),ENTR BR-030/122/430 (CAETITÉ),422.7,435,12.3,PAV,,030BBA0290;122BBA0530,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0310,ENTR BR-030/122/430 (CAETITÉ),ENTR BA-617 (P/IBIASSUCÊ),435,469,34,PAV,,030BBA0310,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0320,ENTR BA-617 (P/IBIASSUCÊ),ENTR BA-940 (P/ LAGOA REAL),469,474,5,PAV,,030BBA0320,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0325,ENTR BA-940 (P/ LAGOA REAL),ENTR BA-614 (IBITIRA),474,484,10,PAV,,030BBA0325,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0330,ENTR BA-614 (IBITIRA),ENTR BA-026/148 (P/MALHADA DE PEDRAS),484,512,28,PAV,,030BBA0330,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0335,ENTR BA-026/148 (P/MALHADA DE PEDRAS),ACESSO OESTE BRUMADO,512,529.4,17.4,PAV,,030BBA0335,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0340,ACESSO OESTE BRUMADO,ENTR BA-148/262 (BRUMADO),529.4,537.3,7.9,PAV,,030BBA0340,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0345,ENTR BA-148/262 (BRUMADO),ENTR BR-030/407 (SUSSUARANA),537.3,587.3,50,PAV,,030BBA0345,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0350,ENTR BR-030/407 (SUSSUARANA),ENTR BR-030/407 (ACESSO NORTE SUSSUARANA),587.3,588.4,1.1,PLA,,030BBA0350;407BBA0540,Estadual,,BA-026,PAV,Estadual,PLA,
030,BA,Eixo Principal,-,030BBA0355,ENTR BR-030/407 (ACESSO NORTE SUSSUARANA),INÍCIO TRAV RIO GAVIÃO,588.4,611.1,22.7,LEN,,030BBA0355,Federal,,,,Federal,N_PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0360,INÍCIO TRAV RIO GAVIÃO,FIM TRAV RIO GAVIÃO,611.1,611.2,0.1,TRV,,030BBA0360,Federal,,,,Federal,N_PAV,
030,BA,Eixo Principal,-,030BBA0365,FIM TRAV RIO GAVIÃO,FIM TRAVESSIA URBANA (MIRANTE),611.2,644.3,33.1,LEN,,030BBA0365,Federal,,,,Federal,N_PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0370,FIM TRAVESSIA URBANA (MIRANTE),R.DURVAL CURSINO DE ECA (BOM JESUS DA SERRA),644.3,683.3,39,PLA,,030BBA0370,Estadual,,BA-640,PAV,Estadual,PLA,
030,BA,Eixo Principal,-,030BBA0375,R.DURVAL CURSINO DE ECA (BOM JESUS DA SERRA),ENTR BR-030/116,683.3,703.1,19.8,LEN,,030BBA0375,Federal,,,,Federal,N_PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0380,ENTR BR-030/116,ENTR BR-030/116 (ACESSO OESTE BOA NOVA),703.1,706.1,3,PAV,,030BBA0380;116BBA0925,Federal,,,,Federal,PAV,Vitória da Conquista
030,BA,Eixo Principal,-,030BBA0385,ENTR BR-030/116 (ACESSO OESTE BOA NOVA),BOA NOVA,706.1,722.1,16,PAV,,030BBA0385,Federal,,,,Federal,PAV,Jequié
030,BA,Eixo Principal,-,030BBA0390,BOA NOVA,FIM DA PONTE S/ RIO TARUGO,722.1,724,1.9,PAV,,030BBA0390,Federal,,,,Federal,PAV,Jequié
030,BA,Eixo Principal,-,030BBA0395,FIM DA PONTE S/ RIO TARUGO,INÍCIO PAVIMENTAÇÃO,724,760.1,36.1,IMP,,030BBA0395,Federal,,,,Federal,N_PAV,Jequié
030,BA,Eixo Principal,-,030BBA0400,INÍCIO PAVIMENTAÇÃO,ENTR BA-130 (DÁRIO MEIRA),760.1,764.3,4.2,PAV,,030BBA0400,Federal,,,,Federal,PAV,Jequié
030,BA,Eixo Principal,-,030BBA0410,ENTR BA-130 (DÁRIO MEIRA),ENTR BA-130 (P/ IBITUPÃ),764.3,769.6,5.3,PAV,,030BBA0410,Federal,,,,Federal,PAV,Jequié
030,BA,Eixo Principal,-,030BBA0412,ENTR BA-130 (P/ IBITUPÃ),ENTR BA-651 (P/ ITAPITANGA),769.6,810.3,40.7,IMP,,030BBA0412,Federal,,,,Federal,N_PAV,Jequié
030,BA,Eixo Principal,-,030BBA0414,ENTR BA-651 (P/ ITAPITANGA),ENTR BA-120 (P/GONGOGI),810.3,820.5,10.2,IMP,,030BBA0414,Federal,,,,Federal,N_PAV,Jequié
030,BA,Eixo Principal,-,030BBA0430,ENTR BA-120 (P/GONGOGI),ENTR BR-030/101 (AURELINO LEAL),820.5,840.1,19.6,LEN,,030BBA0430,Federal,,,,Federal,N_PAV,Jequié
030,BA,Eixo Principal,-,030BBA0440,ENTR BR-030/101 (AURELINO LEAL),ENTR BR-030/101 (UBAITABA),840.1,841.7,1.6,PAV,,030BBA0440;101BBA1752,Federal,,,,Federal,PAV,Itabuna
030,BA,Eixo Principal,-,030BBA0450,ENTR BR-030/101 (UBAITABA),ENTR BA-001,841.7,875.9,34.2,IMP,,030BBA0450,Federal,,,,Federal,N_PAV,Itabuna
030,BA,Eixo Principal,-,030BBA0452,ENTR BA-001,ACESSO SUL MARAÚ,875.9,890.6,14.7,IMP,,030BBA0452,Federal,,,,Federal,N_PAV,Itabuna
030,BA,Eixo Principal,-,030BBA0460,ACESSO SUL MARAÚ,ACESSO P/ BARRA GRANDE,890.6,913.7,23.1,IMP,,030BBA0460,Federal,,,,Federal,N_PAV,Itabuna
030,BA,Eixo Principal,-,030BBA0470,ACESSO P/ BARRA GRANDE,CAMPINHO,913.7,919.4,5.7,IMP,,030BBA0470,Federal,,,,Federal,N_PAV,Itabuna
030,BA,Contorno,-,030CBA1005,ACESSO OESTE CAETITÉ,ENTR BR-030/430 (ACESSO NOROESTE CAETITÉ),0,3,3,PLA,,030CBA1005,Federal,,,,Federal,PLA,
030,BA,Contorno,-,030CBA1010,ENTR BR-030/430 (ACESSO NOROESTE CAETITÉ),ENTR BR-030/122 (ACESSO NORTE CAETITÉ),3,6.9,3.9,PLA,,030CBA1010,Federal,,,,Federal,PLA,
101,RN,Acesso,-,101ARN1005,ACESSO À BASE AÉREA,GUARITA DA BASE AÉREA DE NATAL,0,1.3,1.3,PAV,,101ARN1005,Federal,,,,Federal,PAV,Macaíba
101,AL,Eixo Principal,-,101BAL0590,DIV PE/AL (FIM PONTE S/RIO JACUÍPE),ENTR AL-201 (P/CAMPESTRE),0,0.6,0.6,DUP,,101BAL0590,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0600,ENTR AL-201 (P/CAMPESTRE),ENTR BR-101/416,0.6,2.6,2,DUP,,101BAL0600,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0610,ENTR BR-101/416,ENTR AL-480 (P/JUNDIÁ),2.6,4.8,2.2,DUP,,101BAL0610,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0615,ENTR AL-480 (P/JUNDIÁ),ACESSO NORTE NOVO LINO,4.8,8,3.2,DUP,,101BAL0615,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0617,ACESSO NORTE NOVO LINO,ACESSO SUL NOVO LINO,8,10.2,2.2,DUP,,101BAL0617,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0620,ACESSO SUL NOVO LINO,INÍCIO DA ÁREA INDÍGENA (FIM DA DUPLICAÇÃO),10.2,20.5,10.3,DUP,,101BAL0620,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0622,INÍCIO DA ÁREA INDÍGENA (FIM DA DUPLICAÇÃO),FIM DA ÁREA INDÍGENA,20.5,30.4,9.9,PAV,EOD,101BAL0622,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0625,FIM DA ÁREA INDÍGENA,ENTR AL-205 (JOAQUIM GOMES),30.4,37.4,7,DUP,,101BAL0625,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0630,ENTR AL-205 (JOAQUIM GOMES),ENTR AL-430 (P/FLEXEIRAS),37.4,51.8,14.4,DUP,,101BAL0630,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0650,ENTR AL-430 (P/FLEXEIRAS),ENTR BR-101/104 (ACESSO NORTE MESSIAS),51.8,70.5,18.7,DUP,,101BAL0650,Federal,,,,Federal,PAV,Maceió
101,AL,Eixo Principal,-,101BAL0660,ENTR BR-101/104 (ACESSO NORTE MESSIAS),ACESSO SUL MESSIAS,70.5,75.4,4.9,DUP,,101BAL0660;104BAL0630,Federal,,,,Federal,PAV,Maceió
